James Rodriguez;2;1;1;[Tam4:Hundido|Tam3:Hundido|Tam3:Hundido|Tam2:Hundido|Tam2:Hundido|Tam2:Hundido|Tam1:Hundido|Tam1:Hundido|Tam1:Hundido|Tam1:Intacto]
David;5;5;0;[Tam4:Hundido|Tam3:Hundido|Tam3:Hundido|Tam2:Hundido|Tam2:Hundido|Tam2:Hundido|Tam1:Hundido|Tam1:Hundido|Tam1:Hundido|Tam1:Intacto]
victor123;0;0;0;Nuevo
